#This was created for a grid of the following size:
#X axis: 5
#Z axis: 5
KXR;KXR;timber;timber;timber;5593
UWP;UWP;timber;grain;timber;8734
QSI;QSI;timber;timber;grain;1056
SEA;SEA;timber;grain;timber;7377
WYR;WYR;grain;grain;grain;2678
DRG;DRG;timber;timber;grain;5857
UFS;UFS;grain;timber;grain;1960
EUH;EUH;timber;timber;grain;1869
QPO;QPO;timber;grain;grain;8653
HNA;HNA;grain;timber;grain;5659
SBM;SBM;timber;timber;timber;1087
FRN;FRN;timber;grain;grain;1088
TJJ;TJJ;timber;timber;grain;8690
ZCK;ZCK;timber;grain;grain;9878
OXB;OXB;timber;timber;timber;5184
RCP;RCP;grain;timber;timber;6800
BIY;BIY;grain;grain;grain;4622
NYH;NYH;grain;grain;grain;9764
LWI;LWI;timber;timber;grain;690
STA;STA;grain;timber;grain;5585
EYN;EYN;grain;grain;timber;8558
VXW;VXW;timber;grain;timber;5872
FPS;FPS;timber;timber;grain;6029
FMR;FMR;timber;timber;grain;9995
AJJ;AJJ;grain;timber;timber;9139
